time,concentration,lat,lon
2015-04-10 15:28:19 -0700,0.003,37.803255,-122.294612
2015-04-10 15:28:20 -0700,0.004,37.803257,-122.294612
2015-04-10 15:28:21 -0700,0.005,37.803258,-122.29461
2015-04-10 15:28:22 -0700,0.004,37.80326,-122.29461
2015-04-10 15:28:23 -0700,0.005,37.803262,-122.29461
2015-04-10 15:28:24 -0700,0.006,37.803263,-122.294608
2015-04-10 15:28:25 -0700,0.005,37.803265,-122.294607
2015-04-10 15:28:26 -0700,0.005,37.803265,-122.294607
2015-04-10 15:28:27 -0700,0.004,37.803267,-122.294605
2015-04-10 15:28:28 -0700,0.005,37.803267,-122.294603
2015-04-10 15:28:29 -0700,0.005,37.803267,-122.294603
2015-04-10 15:28:30 -0700,0.007,37.803267,-122.294603
2015-04-10 15:28:31 -0700,0.006,37.803267,-122.294603
2015-04-10 15:28:32 -0700,0.005,37.80327,-122.294603
2015-04-10 15:28:33 -0700,0.004,37.803253,-122.294595
2015-04-10 15:28:34 -0700,0.005,37.803247,-122.2946
2015-04-10 15:28:35 -0700,0.005,37.80324,-122.294602
2015-04-10 15:28:36 -0700,0.005,37.803227,-122.294612
2015-04-10 15:28:37 -0700,0.005,37.80322,-122.294615
2015-04-10 15:28:38 -0700,0.005,37.803213,-122.294617
2015-04-10 15:28:39 -0700,0.037,37.803205,-122.294617
2015-04-10 15:28:40 -0700,0.053,37.803205,-122.294615
2015-04-10 15:28:41 -0700,0.007,37.8032,-122.294613
2015-04-10 15:28:42 -0700,0.004,37.803207,-122.294608
2015-04-10 15:28:43 -0700,0.004,37.803202,-122.294605
2015-04-10 15:28:45 -0700,0.005,37.803202,-122.2946
2015-04-10 15:28:46 -0700,0.005,37.803203,-122.294595
2015-04-10 15:28:47 -0700,0.004,37.8032,-122.294595
2015-04-10 15:28:48 -0700,0.005,37.803198,-122.294595
2015-04-10 15:28:49 -0700,0.005,37.803198,-122.294595
2015-04-10 15:28:50 -0700,0.005,37.803202,-122.294595
2015-04-10 15:28:51 -0700,0.005,37.803198,-122.294598
2015-04-10 15:28:52 -0700,0.005,37.803203,-122.294595
2015-04-10 15:28:53 -0700,0.005,37.803213,-122.294578
2015-04-10 15:28:54 -0700,0.005,37.803215,-122.294577
2015-04-10 15:28:55 -0700,0.005,37.803215,-122.294577
2015-04-10 15:28:56 -0700,0.004,37.803213,-122.294577
2015-04-10 15:28:57 -0700,0.004,37.803208,-122.29458
2015-04-10 15:28:58 -0700,0.005,37.803203,-122.294585
2015-04-10 15:29:00 -0700,0.004,37.803195,-122.294587
2015-04-10 15:29:01 -0700,0.004,37.803193,-122.294588
2015-04-10 15:29:02 -0700,0.006,37.8032,-122.294592
2015-04-10 15:29:03 -0700,0.005,37.803193,-122.294598
2015-04-10 15:29:04 -0700,0.004,37.803187,-122.294617
2015-04-10 15:29:05 -0700,0.005,37.803185,-122.294625
2015-04-10 15:29:06 -0700,0.005,37.803185,-122.294623
2015-04-10 15:29:07 -0700,0.004,37.803185,-122.294635
2015-04-10 15:29:08 -0700,0.005,37.803178,-122.294647
2015-04-10 15:29:09 -0700,0.006,37.803172,-122.29466
2015-04-10 15:29:10 -0700,0.005,37.803163,-122.294667
2015-04-10 15:29:11 -0700,0.011,37.80316,-122.294667
2015-04-10 15:29:12 -0700,0.013,37.803163,-122.294657
2015-04-10 15:29:13 -0700,0.006,37.803157,-122.294657
2015-04-10 15:29:14 -0700,0.005,37.803162,-122.294637
2015-04-10 15:29:15 -0700,0.004,37.803157,-122.294627
2015-04-10 15:29:16 -0700,0.004,37.803152,-122.29462
2015-04-10 15:29:17 -0700,0.004,37.803143,-122.294618
2015-04-10 15:29:18 -0700,0.005,37.803137,-122.294608
2015-04-10 15:29:19 -0700,0.006,37.803137,-122.294603
2015-04-10 15:29:20 -0700,0.006,37.803132,-122.294598
2015-04-10 15:29:21 -0700,0.005,37.803132,-122.29459
2015-04-10 15:29:22 -0700,0.005,37.80313,-122.294583
2015-04-10 15:29:23 -0700,0.005,37.803132,-122.294575
2015-04-10 15:29:24 -0700,0.004,37.803135,-122.294563
2015-04-10 15:29:25 -0700,0.005,37.80314,-122.294553
2015-04-10 15:29:26 -0700,0.005,37.803148,-122.294543
2015-04-10 15:29:27 -0700,0.005,37.803148,-122.294532
2015-04-10 15:29:28 -0700,0.005,37.803142,-122.294522
2015-04-10 15:29:29 -0700,0.006,37.803138,-122.29451
2015-04-10 15:29:30 -0700,0.006,37.803137,-122.294498
2015-04-10 15:29:31 -0700,0.005,37.803128,-122.29449
2015-04-10 15:29:32 -0700,0.006,37.803123,-122.294485
2015-04-10 15:29:33 -0700,0.005,37.803125,-122.29448
2015-04-10 15:29:34 -0700,0.005,37.803122,-122.294475
2015-04-10 15:29:35 -0700,0.005,37.80312,-122.29447
2015-04-10 15:29:36 -0700,0.005,37.803115,-122.294468
2015-04-10 15:29:37 -0700,0.004,37.803108,-122.294465
2015-04-10 15:29:38 -0700,0.006,37.803107,-122.294457
2015-04-10 15:29:39 -0700,0.007,37.803103,-122.294458
2015-04-10 15:29:40 -0700,0.005,37.80309,-122.29446
2015-04-10 15:29:41 -0700,0.005,37.80308,-122.294477
2015-04-10 15:29:42 -0700,0.005,37.803082,-122.294495
2015-04-10 15:29:43 -0700,0.005,37.803073,-122.294495
2015-04-10 15:29:44 -0700,0.006,37.803067,-122.294497
2015-04-10 15:29:45 -0700,0.007,37.803057,-122.294497
2015-04-10 15:29:46 -0700,0.006,37.803057,-122.294495
2015-04-10 15:29:47 -0700,0.004,37.803055,-122.294497
2015-04-10 15:29:48 -0700,0.005,37.803047,-122.294507
2015-04-10 15:29:50 -0700,0.005,37.803043,-122.294503
2015-04-10 15:29:51 -0700,0.005,37.803043,-122.294498
2015-04-10 15:29:52 -0700,0.004,37.803035,-122.294498
2015-04-10 15:29:53 -0700,0.004,37.80303,-122.294505
2015-04-10 15:29:54 -0700,0.004,37.803017,-122.294502
2015-04-10 15:29:55 -0700,0.004,37.803007,-122.294507
2015-04-10 15:29:56 -0700,0.004,37.803005,-122.294503
2015-04-10 15:29:57 -0700,0.004,37.802998,-122.294508
2015-04-10 15:29:58 -0700,0.004,37.802993,-122.2945
2015-04-10 15:29:59 -0700,0.005,37.802992,-122.2945
2015-04-10 15:30:00 -0700,0.005,37.802978,-122.294507
2015-04-10 15:30:01 -0700,0.004,37.802973,-122.29452
2015-04-10 15:30:02 -0700,0.004,37.802968,-122.294518
2015-04-10 15:30:03 -0700,0.005,37.802968,-122.294508
2015-04-10 15:30:04 -0700,0.005,37.802965,-122.294505
2015-04-10 15:30:05 -0700,0.005,37.802958,-122.2945
2015-04-10 15:30:06 -0700,0.005,37.802948,-122.294517
2015-04-10 15:30:07 -0700,0.004,37.80293,-122.294542
2015-04-10 15:30:08 -0700,0.005,37.802923,-122.294548
2015-04-10 15:30:09 -0700,0.005,37.802917,-122.294565
2015-04-10 15:30:10 -0700,0.005,37.802907,-122.294582
2015-04-10 15:30:11 -0700,0.006,37.802895,-122.29459
2015-04-10 15:30:12 -0700,0.005,37.802897,-122.294592
2015-04-10 15:30:13 -0700,0.004,37.802875,-122.294592
2015-04-10 15:30:14 -0700,0.006,37.802887,-122.294585
2015-04-10 15:30:15 -0700,0.006,37.802872,-122.29459
2015-04-10 15:30:16 -0700,0.005,37.802858,-122.294597
2015-04-10 15:30:17 -0700,0.005,37.802855,-122.294575
2015-04-10 15:30:18 -0700,0.005,37.80283,-122.294568
2015-04-10 15:30:19 -0700,0.005,37.80282,-122.294578
2015-04-10 15:30:20 -0700,0.005,37.802803,-122.294585
2015-04-10 15:30:21 -0700,0.004,37.802788,-122.294588
2015-04-10 15:30:22 -0700,0.005,37.80278,-122.294568
2015-04-10 15:30:23 -0700,0.004,37.802773,-122.294555
2015-04-10 15:30:24 -0700,0.004,37.802767,-122.294552
2015-04-10 15:30:25 -0700,0.004,37.802767,-122.294538
2015-04-10 15:30:26 -0700,0.005,37.802758,-122.29454
2015-04-10 15:30:27 -0700,0.007,37.802742,-122.294523
2015-04-10 15:30:28 -0700,0.006,37.802737,-122.29452
2015-04-10 15:30:29 -0700,0.005,37.802725,-122.294517
2015-04-10 15:30:30 -0700,0.005,37.802715,-122.294527
2015-04-10 15:30:31 -0700,0.004,37.802708,-122.294522
2015-04-10 15:30:32 -0700,0.004,37.802707,-122.29452
2015-04-10 15:30:33 -0700,0.004,37.802697,-122.294527
2015-04-10 15:30:34 -0700,0.004,37.802687,-122.294527
2015-04-10 15:30:35 -0700,0.004,37.802672,-122.294528
2015-04-10 15:30:36 -0700,0.004,37.802665,-122.294538
2015-04-10 15:30:37 -0700,0.004,37.802663,-122.294545
2015-04-10 15:30:38 -0700,0.004,37.80266,-122.294547
2015-04-10 15:30:39 -0700,0.005,37.80265,-122.294552
2015-04-10 15:30:40 -0700,0.004,37.802643,-122.29457
2015-04-10 15:30:41 -0700,0.004,37.802635,-122.294577
2015-04-10 15:30:42 -0700,0.004,37.802618,-122.294593
2015-04-10 15:30:43 -0700,0.003,37.802607,-122.294597
2015-04-10 15:30:44 -0700,0.003,37.802595,-122.294613
2015-04-10 15:30:45 -0700,0.004,37.802585,-122.294615
2015-04-10 15:30:46 -0700,0.004,37.80258,-122.294618
2015-04-10 15:30:47 -0700,0.004,37.80257,-122.294615
2015-04-10 15:30:48 -0700,0.005,37.802567,-122.294618
2015-04-10 15:30:49 -0700,0.004,37.802567,-122.294633
2015-04-10 15:30:50 -0700,0.004,37.802572,-122.294655
2015-04-10 15:30:51 -0700,0.003,37.80257,-122.294662
2015-04-10 15:30:52 -0700,0.003,37.802563,-122.294653
2015-04-10 15:30:53 -0700,0.004,37.802555,-122.294633
2015-04-10 15:30:54 -0700,0.004,37.802558,-122.294618
2015-04-10 15:30:55 -0700,0.003,37.802555,-122.294607
2015-04-10 15:30:56 -0700,0.004,37.802565,-122.294607
2015-04-10 15:30:57 -0700,0.003,37.802598,-122.294615
2015-04-10 15:30:58 -0700,0.003,37.802628,-122.294612
2015-04-10 15:30:59 -0700,0.003,37.802668,-122.294605
2015-04-10 15:31:00 -0700,0.003,37.802718,-122.294615
2015-04-10 15:31:01 -0700,0.003,37.802758,-122.294622
2015-04-10 15:31:02 -0700,0.003,37.802807,-122.294625
2015-04-10 15:31:03 -0700,0.003,37.802845,-122.294622
2015-04-10 15:31:04 -0700,0.003,37.802887,-122.29462
2015-04-10 15:31:05 -0700,0.003,37.802927,-122.294618
2015-04-10 15:31:06 -0700,0.003,37.802968,-122.294617
2015-04-10 15:31:07 -0700,0.003,37.803008,-122.294615
2015-04-10 15:31:08 -0700,0.003,37.803048,-122.294613
2015-04-10 15:31:09 -0700,0.004,37.80309,-122.294612
2015-04-10 15:31:10 -0700,0.004,37.802973,-122.294585
2015-04-10 15:31:11 -0700,0.004,37.802905,-122.294573
2015-04-10 15:31:12 -0700,0.003,37.802748,-122.294647
2015-04-10 15:31:13 -0700,0.004,37.802673,-122.29466
2015-04-10 15:31:15 -0700,0.004,37.802585,-122.294733
2015-04-10 15:31:16 -0700,0.004,37.802542,-122.294775
2015-04-10 15:31:17 -0700,0.004,37.80247,-122.294828
2015-04-10 15:31:18 -0700,0.004,37.802457,-122.294943
2015-04-10 15:31:19 -0700,0.003,37.802427,-122.294955
2015-04-10 15:31:20 -0700,0.003,37.80239,-122.29493
2015-04-10 15:31:21 -0700,0.004,37.80237,-122.294967
2015-04-10 15:31:22 -0700,0.004,37.802382,-122.294985
2015-04-10 15:31:23 -0700,0.003,37.802383,-122.294985
2015-04-10 15:31:24 -0700,0.003,37.802415,-122.294972
2015-04-10 15:31:25 -0700,0.003,37.802412,-122.294963
2015-04-10 15:31:26 -0700,0.003,37.802423,-122.29496
2015-04-10 15:31:27 -0700,0.004,37.802432,-122.29495
2015-04-10 15:31:28 -0700,0.006,37.802402,-122.294928
2015-04-10 15:31:29 -0700,0.006,37.802408,-122.29494
2015-04-10 15:31:30 -0700,0.004,37.802405,-122.294942
2015-04-10 15:31:31 -0700,0.003,37.802407,-122.294958
2015-04-10 15:31:32 -0700,0.003,37.802412,-122.294953
2015-04-10 15:31:33 -0700,0.004,37.802422,-122.294948
2015-04-10 15:31:34 -0700,0.004,37.80242,-122.294953
2015-04-10 15:31:35 -0700,0.005,37.802413,-122.294967
2015-04-10 15:31:36 -0700,0.004,37.80241,-122.294975
2015-04-10 15:31:37 -0700,0.004,37.80241,-122.294978
2015-04-10 15:31:38 -0700,0.004,37.802427,-122.294965
2015-04-10 15:31:39 -0700,0.004,37.802442,-122.29496
2015-04-10 15:31:40 -0700,0.003,37.80243,-122.294973
2015-04-10 15:31:41 -0700,0.003,37.80244,-122.294985
2015-04-10 15:31:42 -0700,0.004,37.802442,-122.294987
2015-04-10 15:31:43 -0700,0.004,37.802437,-122.295
2015-04-10 15:31:44 -0700,0.004,37.802448,-122.295005
2015-04-10 15:31:45 -0700,0.005,37.802457,-122.295007
2015-04-10 15:31:46 -0700,0.004,37.802468,-122.294995
2015-04-10 15:31:47 -0700,0.005,37.802472,-122.294988
2015-04-10 15:31:48 -0700,0.005,37.802473,-122.294972
2015-04-10 15:31:49 -0700,0.004,37.802485,-122.294953
2015-04-10 15:31:50 -0700,0.005,37.802487,-122.294943
2015-04-10 15:31:51 -0700,0.004,37.802495,-122.29494
2015-04-10 15:31:52 -0700,0.004,37.802507,-122.294937
2015-04-10 15:31:53 -0700,0.004,37.802513,-122.294932
2015-04-10 15:31:54 -0700,0.004,37.802512,-122.294917
2015-04-10 15:31:55 -0700,0.004,37.802508,-122.29491
2015-04-10 15:31:56 -0700,0.005,37.802515,-122.294918
